session_id,customer_id,session_date,session_duration_min,pages_viewed,device_type
SESS_000035,CUST_00003,2026-07-03,16.7,7,Mobile
SESS_000036,CUST_00003,2026-07-15,4.5,6,Mobile
SESS_000037,CUST_00003,2026-08-28,3.0,4,Mobile
SESS_000038,CUST_00004,2025-10-14,49.0,14,Desktop
SESS_000039,CUST_00004,2025-12-07,38.8,20,Desktop
SESS_000040,CUST_00004,2026-01-08,54.7,29,Desktop
SESS_000041,CUST_00004,2026-01-26,39.3,23,Desktop
SESS_000042,CUST_00004,2026-02-10,19.4,13,Desktop
SESS_000043,CUST_00004,2026-04-18,26.6,15,Desktop
SESS_000044,CUST_00004,2026-05-12,20.7,12,Desktop
SESS_000045,CUST_00004,2026-05-20,32.6,25,Desktop
SESS_000046,CUST_00004,2026-07-05,39.9,17,Desktop
SESS_000047,CUST_00004,2026-07-10,42.4,23,Desktop
SESS_000048,CUST_00004,2026-07-11,54.6,21,Desktop
SESS_000049,CUST_00004,2026-07-19,15.0,17,Tablet
SESS_000050,CUST_00004,2026-07-29,24.0,12,Desktop
SESS_000051,CUST_00004,2026-07-30,16.1,14,Desktop
SESS_000052,CUST_00004,2026-08-06,1.3,8,Desktop
SESS_000053,CUST_00004,2026-08-31,25.4,15,Desktop
SESS_000054,CUST_00005,2026-07-17,25.3,12,Desktop
SESS_000055,CUST_00005,2026-07-30,5.9,4,Desktop
SESS_000056,CUST_00005,2026-08-01,42.3,23,Desktop
SESS_000057,CUST_00005,2026-08-03,10.9,9,Mobile
SESS_000058,CUST_00005,2026-08-07,27.4,9,Desktop
SESS_000059,CUST_00005,2026-08-15,23.4,15,Desktop
SESS_000060,CUST_00005,2026-08-29,17.5,15,Desktop
SESS_000061,CUST_00006,2026-08-12,0.8,5,Mobile
SESS_000062,CUST_00006,2026-08-28,12.5,6,Mobile
SESS_000063,CUST_00007,2026-08-21,20.2,9,Tablet
SESS_000064,CUST_00008,2024-11-08,73.0,24,Desktop
SESS_000065,CUST_00008,2024-11-22,23.7,19,Mobile
SESS_000066,CUST_00008,2024-12-03,90.3,41,Mobile
SESS_000067,CUST_00008,2024-12-25,25.6,22,Desktop
SESS_000068,CUST_00008,2025-01-06,36.9,32,Mobile
SESS_000069,CUST_00008,2025-01-15,36.1,27,Mobile
SESS_000070,CUST_00008,2025-02-03,34.4,18,Mobile
SESS_000071,CUST_00008,2025-02-06,40.9,23,Mobile
SESS_000072,CUST_00008,2025-02-11,93.1,48,Mobile
SESS_000073,CUST_00008,2025-02-18,31.1,17,Mobile
SESS_000074,CUST_00008,2025-03-07,83.5,39,Mobile
SESS_000075,CUST_00008,2025-03-11,63.7,20,Mobile
SESS_000076,CUST_00008,2025-04-25,120.0,54,Mobile
SESS_000077,CUST_00008,2025-05-20,119.4,50,Mobile
SESS_000078,CUST_00008,2025-05-30,23.6,22,Mobile
SESS_000079,CUST_00008,2025-06-25,63.5,26,Mobile
SESS_000080,CUST_00008,2025-06-30,20.4,22,Mobile
SESS_000081,CUST_00008,2025-07-06,23.8,15,Mobile
SESS_000082,CUST_00008,2025-07-08,111.0,34,Mobile
SESS_000083,CUST_00008,2025-07-29,30.4,29,Mobile
SESS_000084,CUST_00008,2025-08-17,120.0,58,Mobile
SESS_000085,CUST_00008,2025-08-26,28.7,26,Mobile
SESS_000086,CUST_00008,2025-09-11,52.8,33,Mobile
SESS_000087,CUST_00008,2025-09-13,52.0,28,Mobile
SESS_000088,CUST_00008,2025-10-04,30.6,25,Mobile
SESS_000089,CUST_00008,2025-10-05,93.4,44,Mobile
SESS_000090,CUST_00008,2025-10-28,54.6,39,Mobile
SESS_000091,CUST_00008,2025-11-24,47.9,23,Mobile
SESS_000092,CUST_00008,2025-11-28,3.0,13,Mobile
SESS_000093,CUST_00008,2025-12-06,63.5,26,Mobile
SESS_000094,CUST_00008,2025-12-10,42.5,28,Mobile
SESS_000095,CUST_00008,2025-12-20,35.7,19,Mobile
SESS_000096,CUST_00008,2025-12-23,120.0,50,Desktop
SESS_000097,CUST_00008,2026-01-07,32.3,23,Mobile
SESS_000098,CUST_00008,2026-01-14,0.8,9,Mobile
SESS_000099,CUST_00008,2026-01-16,120.0,65,Mobile
SESS_000100,CUST_00008,2026-01-21,72.2,28,Mobile
SESS_000101,CUST_00008,2026-01-24,63.9,22,Mobile
SESS_000102,CUST_00008,2026-01-26,54.7,25,Mobile
SESS_000103,CUST_00008,2026-02-01,71.5,37,Mobile
SESS_000104,CUST_00008,2026-02-10,120.0,63,Mobile
SESS_000105,CUST_00008,2026-02-22,35.6,30,Mobile
SESS_000106,CUST_00008,2026-02-28,69.8,38,Mobile
SESS_000107,CUST_00008,2026-03-03,79.7,32,Mobile
SESS_000108,CUST_00008,2026-03-13,94.1,44,Mobile
SESS_000109,CUST_00008,2026-03-18,29.7,20,Mobile
SESS_000110,CUST_00008,2026-03-19,21.6,16,Mobile
SESS_000111,CUST_00008,2026-03-19,27.7,28,Mobile
SESS_000112,CUST_00008,2026-03-23,60.0,34,Mobile
SESS_000113,CUST_00008,2026-03-27,31.0,20,Mobile
SESS_000114,CUST_00008,2026-04-02,80.1,34,Mobile
SESS_000115,CUST_00008,2026-04-11,37.3,27,Mobile
SESS_000116,CUST_00008,2026-04-19,37.1,20,Mobile
SESS_000117,CUST_00008,2026-04-25,72.0,36,Mobile
SESS_000118,CUST_00008,2026-04-30,25.9,19,Mobile
SESS_000119,CUST_00008,2026-05-01,31.1,17,Desktop
SESS_000120,CUST_00008,2026-05-22,120.0,42,Desktop
SESS_000121,CUST_00008,2026-05-24,55.6,27,Mobile
SESS_000122,CUST_00008,2026-05-25,55.6,27,Desktop
SESS_000123,CUST_00008,2026-05-27,30.0,26,Mobile
SESS_000124,CUST_00008,2026-05-28,99.8,42,Mobile
SESS_000125,CUST_00008,2026-06-17,33.0,19,Mobile
SESS_000126,CUST_00008,2026-06-23,117.8,40,Mobile
SESS_000127,CUST_00008,2026-06-26,112.9,44,Mobile
SESS_000128,CUST_00008,2026-07-05,26.6,23,Mobile
SESS_000129,CUST_00008,2026-07-07,14.3,17,Mobile
SESS_000130,CUST_00008,2026-07-09,28.2,14,Mobile
SESS_000131,CUST_00008,2026-07-12,50.3,37,Mobile
SESS_000132,CUST_00008,2026-07-14,34.9,21,Mobile
SESS_000133,CUST_00008,2026-07-16,47.3,25,Mobile
SESS_000134,CUST_00008,2026-07-17,66.6,29,Mobile
SESS_000135,CUST_00008,2026-07-21,72.6,39,Mobile
SESS_000136,CUST_00008,2026-07-23,59.8,28,Mobile
SESS_000137,CUST_00008,2026-07-23,60.3,26,Mobile
SESS_000138,CUST_00008,2026-08-02,103.3,48,Mobile
SESS_000139,CUST_00008,2026-08-06,21.0,20,Mobile
SESS_000140,CUST_00008,2026-08-07,83.3,36,Mobile
SESS_000141,CUST_00008,2026-08-09,60.8,26,Mobile
SESS_000142,CUST_00008,2026-08-27,120.0,52,Desktop
SESS_000143,CUST_00009,2025-11-29,6.9,6,Tablet
SESS_000144,CUST_00009,2026-02-11,10.7,14,Tablet
SESS_000145,CUST_00009,2026-03-02,35.1,18,Tablet
SESS_000146,CUST_00009,2026-03-21,21.3,15,Tablet
SESS_000147,CUST_00009,2026-04-16,26.0,16,Tablet
SESS_000148,CUST_00009,2026-05-24,25.6,10,Tablet
SESS_000149,CUST_00009,2026-05-29,18.0,12,Mobile
SESS_000150,CUST_00009,2026-06-02,5.0,7,Desktop
SESS_000151,CUST_00009,2026-06-12,12.1,8,Tablet
SESS_000152,CUST_00009,2026-06-13,19.3,9,Tablet
SESS_000153,CUST_00009,2026-07-20,25.5,15,Tablet
SESS_000154,CUST_00009,2026-08-23,12.5,8,Desktop
SESS_000155,CUST_00009,2026-08-31,17.4,10,Tablet
SESS_000156,CUST_00010,2025-07-24,7.0,6,Desktop
SESS_000157,CUST_00010,2025-09-25,23.8,14,Desktop
SESS_000158,CUST_00010,2025-10-20,29.2,14,Desktop
SESS_000159,CUST_00010,2025-11-26,13.2,8,Desktop
SESS_000160,CUST_00010,2025-12-29,15.0,12,Desktop
SESS_000161,CUST_00010,2026-02-04,19.2,4,Desktop
SESS_000162,CUST_00010,2026-02-06,18.1,6,Desktop
SESS_000163,CUST_00010,2026-02-07,19.4,15,Desktop
SESS_000164,CUST_00010,2026-02-28,13.3,7,Mobile
SESS_000165,CUST_00010,2026-04-19,8.8,6,Mobile
SESS_000166,CUST_00010,2026-04-22,27.1,10,Desktop
SESS_000167,CUST_00010,2026-04-23,2.0,2,Desktop
SESS_000168,CUST_00010,2026-05-12,28.0,12,Desktop
SESS_000169,CUST_00010,2026-06-16,15.1,8,Desktop
SESS_000170,CUST_00010,2026-06-16,26.4,23,Desktop
SESS_000171,CUST_00010,2026-06-29,8.3,6,Desktop
SESS_000172,CUST_00010,2026-08-07,33.8,13,Desktop
SESS_000173,CUST_00010,2026-08-09,11.9,8,Desktop
SESS_000174,CUST_00010,2026-08-20,2.5,10,Desktop
SESS_000175,CUST_00011,2026-08-30,8.5,11,Mobile
SESS_000176,CUST_00011,2026-09-01,25.7,6,Mobile
SESS_000177,CUST_00012,2023-05-15,4.0,5,Mobile
SESS_000178,CUST_00012,2023-12-02,4.7,10,Mobile
SESS_000179,CUST_00012,2024-01-08,24.2,18,Mobile
SESS_000180,CUST_00012,2024-07-21,9.6,11,Mobile
SESS_000181,CUST_00012,2024-08-26,4.0,3,Mobile
SESS_000182,CUST_00012,2024-11-06,11.9,6,Mobile
SESS_000183,CUST_00012,2024-11-22,14.3,7,Desktop
SESS_000184,CUST_00012,2025-02-16,8.6,6,Mobile
SESS_000185,CUST_00012,2025-03-08,5.9,5,Mobile
SESS_000186,CUST_00012,2025-03-26,25.6,11,Mobile
SESS_000187,CUST_00012,2025-05-02,7.9,8,Mobile
SESS_000188,CUST_00012,2025-06-02,26.1,11,Mobile
SESS_000189,CUST_00012,2025-06-28,6.3,6,Mobile
SESS_000190,CUST_00012,2025-09-05,15.5,9,Mobile
SESS_000191,CUST_00012,2025-09-22,24.9,8,Mobile
SESS_000192,CUST_00012,2025-12-25,28.7,18,Mobile
SESS_000193,CUST_00012,2026-02-04,14.2,4,Mobile
SESS_000194,CUST_00012,2026-02-09,25.8,19,Mobile
SESS_000195,CUST_00012,2026-03-15,12.0,4,Mobile
SESS_000196,CUST_00012,2026-05-12,8.2,5,Mobile
SESS_000197,CUST_00012,2026-05-17,13.9,12,Mobile
SESS_000198,CUST_00012,2026-05-25,7.9,10,Mobile
SESS_000199,CUST_00012,2026-05-25,16.0,11,Mobile
SESS_000200,CUST_00012,2026-07-05,19.2,10,Mobile
SESS_000201,CUST_00012,2026-07-21,11.2,6,Tablet
SESS_000202,CUST_00013,2024-12-23,29.1,14,Mobile
SESS_000203,CUST_00013,2025-01-16,27.6,10,Mobile
SESS_000204,CUST_00013,2025-01-26,3.8,4,Mobile
SESS_000205,CUST_00013,2025-04-10,9.2,12,Desktop
SESS_000206,CUST_00013,2025-05-11,26.5,17,Mobile
SESS_000207,CUST_00013,2025-06-09,27.3,17,Mobile
SESS_000208,CUST_00013,2025-06-18,22.0,21,Mobile
SESS_000209,CUST_00013,2025-08-06,75.4,19,Mobile
SESS_000210,CUST_00013,2025-09-01,27.4,16,Mobile
SESS_000211,CUST_00013,2025-09-19,9.4,16,Mobile
SESS_000212,CUST_00013,2025-09-24,18.0,19,Mobile
SESS_000213,CUST_00013,2025-11-28,26.1,18,Mobile
SESS_000214,CUST_00013,2025-12-02,15.8,8,Mobile
SESS_000215,CUST_00013,2025-12-04,38.6,26,Mobile
SESS_000216,CUST_00013,2025-12-06,9.4,12,Mobile
SESS_000217,CUST_00013,2025-12-17,48.4,29,Mobile
SESS_000218,CUST_00013,2025-12-18,22.2,14,Mobile
SESS_000219,CUST_00013,2025-12-23,40.7,18,Mobile
SESS_000220,CUST_00013,2025-12-31,48.4,29,Mobile
SESS_000221,CUST_00013,2026-01-26,17.6,12,Mobile
SESS_000222,CUST_00013,2026-01-31,22.8,11,Mobile
SESS_000223,CUST_00013,2026-02-01,11.1,12,Mobile
SESS_000224,CUST_00013,2026-02-28,19.8,11,Mobile
SESS_000225,CUST_00013,2026-03-02,64.5,31,Mobile
SESS_000226,CUST_00013,2026-03-14,40.4,17,Desktop
SESS_000227,CUST_00013,2026-03-28,16.8,14,Mobile
SESS_000228,CUST_00013,2026-03-30,47.9,23,Mobile
SESS_000229,CUST_00013,2026-04-04,48.9,31,Mobile
SESS_000230,CUST_00013,2026-04-09,10.7,9,Mobile
SESS_000231,CUST_00013,2026-04-16,46.7,20,Mobile
SESS_000232,CUST_00013,2026-04-20,29.8,20,Mobile
SESS_000233,CUST_00013,2026-04-27,25.6,13,Mobile
SESS_000234,CUST_00013,2026-05-14,4.7,8,Mobile
SESS_000235,CUST_00013,2026-06-05,50.6,32,Mobile
SESS_000236,CUST_00013,2026-06-21,25.4,11,Mobile
SESS_000237,CUST_00013,2026-06-24,7.9,9,Mobile
SESS_000238,CUST_00013,2026-07-04,22.2,26,Mobile
SESS_000239,CUST_00013,2026-07-10,48.3,14,Mobile
SESS_000240,CUST_00013,2026-07-17,13.0,18,Mobile
SESS_000241,CUST_00013,2026-07-29,1.1,8,Mobile
SESS_000242,CUST_00013,2026-08-02,29.7,15,Mobile
SESS_000243,CUST_00013,2026-08-03,38.4,32,Mobile
SESS_000244,CUST_00013,2026-08-19,60.5,25,Mobile
SESS_000245,CUST_00013,2026-08-21,42.7,24,Mobile
SESS_000246,CUST_00014,2026-07-19,16.8,10,Desktop
SESS_000247,CUST_00014,2026-07-23,22.5,13,Mobile
SESS_000248,CUST_00015,2026-08-29,9.9,7,Mobile
SESS_000249,CUST_00016,2026-07-27,33.8,11,Mobile
SESS_000250,CUST_00016,2026-08-10,23.0,12,Mobile
SESS_000251,CUST_00016,2026-08-14,35.7,17,Mobile
SESS_000252,CUST_00016,2026-08-22,2.9,2,Mobile
SESS_000253,CUST_00016,2026-09-03,16.5,11,Mobile
SESS_000254,CUST_00017,2026-05-06,4.3,5,Mobile
SESS_000255,CUST_00017,2026-06-21,11.7,5,Desktop
SESS_000256,CUST_00017,2026-07-08,13.7,9,Mobile
SESS_000257,CUST_00017,2026-07-27,13.4,11,Mobile
SESS_000258,CUST_00017,2026-08-26,30.2,15,Mobile
SESS_000259,CUST_00018,2026-01-12,10.0,7,Mobile
SESS_000260,CUST_00018,2026-03-23,9.3,8,Mobile
SESS_000261,CUST_00018,2026-04-03,20.5,13,Mobile
SESS_000262,CUST_00018,2026-05-29,7.5,6,Mobile
SESS_000263,CUST_00018,2026-06-30,14.8,7,Mobile
SESS_000264,CUST_00018,2026-07-06,9.0,12,Mobile
SESS_000265,CUST_00018,2026-07-16,18.7,22,Mobile
SESS_000266,CUST_00018,2026-07-17,31.5,13,Mobile
SESS_000267,CUST_00018,2026-08-02,8.4,5,Mobile
SESS_000268,CUST_00019,2026-02-02,17.1,10,Tablet
SESS_000269,CUST_00019,2026-04-13,11.3,10,Tablet
SESS_000270,CUST_00019,2026-06-07,8.2,13,Tablet
SESS_000271,CUST_00019,2026-06-28,23.6,19,Mobile
SESS_000272,CUST_00019,2026-07-06,11.1,8,Tablet
SESS_000273,CUST_00019,2026-07-07,47.9,23,Tablet
SESS_000274,CUST_00019,2026-07-20,19.6,14,Tablet
SESS_000275,CUST_00019,2026-08-05,12.7,13,Tablet
SESS_000276,CUST_00019,2026-08-16,10.2,8,Tablet
SESS_000277,CUST_00019,2026-08-29,16.5,10,Tablet
SESS_000278,CUST_00020,2026-06-10,14.0,4,Mobile
SESS_000279,CUST_00020,2026-06-20,28.1,12,Mobile
SESS_000280,CUST_00020,2026-06-22,11.5,6,Mobile
SESS_000281,CUST_00020,2026-07-03,36.0,19,Mobile
SESS_000282,CUST_00020,2026-08-03,31.6,18,Mobile
SESS_000283,CUST_00020,2026-08-09,26.3,9,Mobile
SESS_000284,CUST_00020,2026-08-14,11.0,12,Mobile
SESS_000285,CUST_00020,2026-08-15,57.0,21,Mobile
SESS_000286,CUST_00020,2026-08-17,54.5,22,Mobile
SESS_000287,CUST_00020,2026-08-27,10.5,8,Mobile
SESS_000288,CUST_00020,2026-08-31,40.6,18,Desktop
SESS_000289,CUST_00021,2025-10-15,62.5,23,Mobile
SESS_000290,CUST_00021,2025-11-12,18.7,14,Desktop
SESS_000291,CUST_00021,2025-11-17,49.4,30,Desktop
SESS_000292,CUST_00021,2025-11-19,25.2,15,Desktop
SESS_000293,CUST_00021,2025-12-15,21.5,12,Mobile
SESS_000294,CUST_00021,2026-01-01,46.5,23,Desktop
SESS_000295,CUST_00021,2026-01-12,34.9,19,Desktop
SESS_000296,CUST_00021,2026-01-19,120.0,42,Desktop
SESS_000297,CUST_00021,2026-01-23,30.8,23,Desktop
SESS_000298,CUST_00021,2026-01-27,0.7,10,Desktop
SESS_000299,CUST_00021,2026-02-14,19.1,24,Desktop
SESS_000300,CUST_00021,2026-02-25,14.3,14,Desktop
SESS_000301,CUST_00021,2026-02-27,41.6,29,Desktop
SESS_000302,CUST_00021,2026-03-03,120.0,48,Desktop
SESS_000303,CUST_00021,2026-03-05,12.7,17,Mobile
SESS_000304,CUST_00021,2026-03-06,54.8,27,Desktop
SESS_000305,CUST_00021,2026-03-27,45.8,18,Desktop
SESS_000306,CUST_00021,2026-04-14,56.9,34,Desktop
SESS_000307,CUST_00021,2026-04-24,17.9,24,Desktop
SESS_000308,CUST_00021,2026-05-09,5.3,16,Desktop
SESS_000309,CUST_00021,2026-05-11,6.4,14,Mobile
SESS_000310,CUST_00021,2026-05-28,67.4,39,Desktop
SESS_000311,CUST_00021,2026-06-02,25.8,26,Desktop
SESS_000312,CUST_00021,2026-06-12,16.0,10,Desktop
SESS_000313,CUST_00021,2026-06-12,25.5,14,Desktop
SESS_000314,CUST_00021,2026-06-16,78.3,26,Desktop
SESS_000315,CUST_00021,2026-06-22,41.4,24,Desktop
SESS_000316,CUST_00021,2026-07-02,10.0,9,Desktop
SESS_000317,CUST_00021,2026-07-04,77.5,32,Desktop
SESS_000318,CUST_00021,2026-07-06,100.5,37,Desktop
SESS_000319,CUST_00021,2026-07-26,18.0,13,Desktop
SESS_000320,CUST_00021,2026-08-05,53.0,24,Desktop
SESS_000321,CUST_00021,2026-08-05,27.5,15,Desktop
SESS_000322,CUST_00021,2026-08-19,120.0,48,Desktop
SESS_000323,CUST_00021,2026-08-30,25.3,25,Desktop
SESS_000324,CUST_00021,2026-08-30,36.6,20,Mobile
SESS_000325,CUST_00021,2026-09-03,52.5,26,Desktop
SESS_000326,CUST_00022,2026-07-20,15.7,8,Mobile
SESS_000327,CUST_00022,2026-08-13,4.5,7,Mobile
SESS_000328,CUST_00022,2026-08-15,12.9,12,Mobile
SESS_000329,CUST_00022,2026-08-20,4.4,9,Mobile
SESS_000330,CUST_00022,2026-08-26,22.9,9,Mobile
SESS_000331,CUST_00022,2026-08-27,21.6,8,Desktop
SESS_000332,CUST_00022,2026-08-31,3.7,6,Desktop
SESS_000333,CUST_00022,2026-08-31,8.4,12,Mobile
SESS_000334,CUST_00023,2026-05-14,19.9,9,Desktop
SESS_000335,CUST_00023,2026-09-01,16.8,11,Desktop
SESS_000336,CUST_00024,2026-05-01,22.5,16,Desktop
SESS_000337,CUST_00024,2026-05-24,14.5,8,Desktop
SESS_000338,CUST_00024,2026-06-11,18.0,16,Desktop
SESS_000339,CUST_00024,2026-06-17,35.2,13,Desktop
SESS_000340,CUST_00024,2026-06-27,4.8,4,Desktop
SESS_000341,CUST_00024,2026-06-28,22.7,17,Desktop
SESS_000342,CUST_00024,2026-07-02,6.8,5,Desktop
SESS_000343,CUST_00024,2026-07-05,6.5,5,Desktop
SESS_000344,CUST_00024,2026-07-06,20.5,16,Desktop
SESS_000345,CUST_00024,2026-07-14,9.1,4,Desktop
SESS_000346,CUST_00024,2026-07-17,32.2,20,Desktop
SESS_000347,CUST_00024,2026-07-30,88.5,23,Desktop
SESS_000348,CUST_00024,2026-08-06,33.4,19,Desktop
SESS_000349,CUST_00025,2026-02-28,17.9,9,Mobile
SESS_000350,CUST_00025,2026-05-06,20.4,14,Mobile
SESS_000351,CUST_00025,2026-05-31,6.7,10,Mobile
SESS_000352,CUST_00025,2026-06-14,40.5,17,Mobile
SESS_000353,CUST_00025,2026-07-11,32.6,16,Mobile
SESS_000354,CUST_00025,2026-07-13,4.5,10,Mobile
SESS_000355,CUST_00025,2026-07-22,10.9,7,Mobile
SESS_000356,CUST_00025,2026-07-26,13.8,10,Mobile
SESS_000357,CUST_00025,2026-07-27,5.5,5,Mobile
SESS_000358,CUST_00025,2026-08-13,16.8,10,Mobile
SESS_000359,CUST_00025,2026-08-14,15.0,9,Mobile
SESS_000360,CUST_00025,2026-08-16,8.2,6,Mobile
SESS_000361,CUST_00025,2026-08-18,36.7,18,Mobile
SESS_000362,CUST_00025,2026-08-25,12.9,11,Mobile
SESS_000363,CUST_00025,2026-08-28,12.2,11,Mobile
SESS_000364,CUST_00026,2025-02-06,47.3,32,Mobile
SESS_000365,CUST_00026,2025-03-05,25.9,12,Mobile
SESS_000366,CUST_00026,2025-03-19,51.1,29,Mobile
SESS_000367,CUST_00026,2025-05-14,14.8,3,Mobile
SESS_000368,CUST_00026,2025-05-31,81.9,43,Mobile
SESS_000369,CUST_00026,2025-07-30,90.6,25,Mobile
SESS_000370,CUST_00026,2025-08-17,12.9,17,Mobile
SESS_000371,CUST_00026,2025-09-16,57.9,38,Mobile
SESS_000372,CUST_00026,2025-09-26,7.4,14,Mobile
SESS_000373,CUST_00026,2025-09-28,34.1,23,Mobile
SESS_000374,CUST_00026,2025-10-16,61.4,32,Mobile
SESS_000375,CUST_00026,2025-10-26,75.8,37,Mobile
SESS_000376,CUST_00026,2025-10-27,64.2,35,Mobile
SESS_000377,CUST_00026,2025-11-04,80.2,36,Mobile
SESS_000378,CUST_00026,2025-11-06,12.9,8,Mobile
SESS_000379,CUST_00026,2025-11-09,38.8,20,Mobile
SESS_000380,CUST_00026,2025-11-15,40.0,20,Mobile
SESS_000381,CUST_00026,2025-11-24,48.1,28,Mobile
SESS_000382,CUST_00026,2025-12-09,46.5,16,Mobile
SESS_000383,CUST_00026,2025-12-18,10.6,17,Mobile
SESS_000384,CUST_00026,2026-01-26,45.7,22,Mobile
SESS_000385,CUST_00026,2026-02-04,45.4,29,Mobile
SESS_000386,CUST_00026,2026-02-06,31.6,15,Mobile
SESS_000387,CUST_00026,2026-02-16,42.1,22,Mobile
SESS_000388,CUST_00026,2026-02-17,87.8,38,Mobile
SESS_000389,CUST_00026,2026-02-26,39.4,15,Mobile
SESS_000390,CUST_00026,2026-02-27,34.6,22,Mobile
SESS_000391,CUST_00026,2026-03-05,2.4,6,Mobile
SESS_000392,CUST_00026,2026-03-06,25.7,15,Mobile
SESS_000393,CUST_00026,2026-03-13,17.4,13,Mobile
SESS_000394,CUST_00026,2026-03-24,51.7,29,Mobile
SESS_000395,CUST_00026,2026-03-29,55.2,20,Mobile
SESS_000396,CUST_00026,2026-04-02,6.0,10,Mobile
SESS_000397,CUST_00026,2026-04-11,75.7,33,Mobile
SESS_000398,CUST_00026,2026-04-21,17.9,14,Mobile
SESS_000399,CUST_00026,2026-04-28,41.7,26,Mobile
SESS_000400,CUST_00026,2026-04-29,107.5,47,Mobile
SESS_000401,CUST_00026,2026-04-30,47.2,21,Mobile
SESS_000402,CUST_00026,2026-05-02,12.4,14,Mobile
SESS_000403,CUST_00026,2026-05-08,28.5,18,Desktop
SESS_000404,CUST_00026,2026-05-09,86.1,36,Mobile
SESS_000405,CUST_00026,2026-05-10,52.5,22,Mobile
SESS_000406,CUST_00026,2026-05-24,29.3,20,Mobile
SESS_000407,CUST_00026,2026-05-29,68.0,23,Mobile
SESS_000408,CUST_00026,2026-06-14,83.0,41,Mobile
SESS_000409,CUST_00026,2026-06-24,7.1,14,Mobile
SESS_000410,CUST_00026,2026-07-06,61.2,32,Mobile
SESS_000411,CUST_00026,2026-07-06,26.7,16,Mobile
SESS_000412,CUST_00026,2026-07-13,55.5,25,Mobile
SESS_000413,CUST_00026,2026-07-20,23.6,25,Mobile
SESS_000414,CUST_00026,2026-07-21,5.5,8,Mobile
SESS_000415,CUST_00026,2026-08-01,44.4,29,Mobile
SESS_000416,CUST_00026,2026-08-03,86.2,33,Mobile
SESS_000417,CUST_00026,2026-08-05,48.2,24,Mobile
SESS_000418,CUST_00026,2026-08-08,31.7,20,Desktop
SESS_000419,CUST_00026,2026-08-09,3.2,2,Mobile
SESS_000420,CUST_00026,2026-08-11,23.3,13,Mobile
SESS_000421,CUST_00026,2026-08-22,18.9,10,Mobile
SESS_000422,CUST_00026,2026-08-24,16.8,10,Mobile
SESS_000423,CUST_00026,2026-08-28,9.3,9,Mobile
SESS_000424,CUST_00026,2026-08-29,72.1,40,Mobile
SESS_000425,CUST_00026,2026-08-31,19.2,19,Mobile
SESS_000426,CUST_00026,2026-08-31,19.2,19,Mobile
SESS_000427,CUST_00026,2026-09-01,23.1,13,Mobile
SESS_000428,CUST_00027,2026-08-02,12.0,10,Mobile
SESS_000429,CUST_00027,2026-08-08,6.8,8,Mobile
SESS_000430,CUST_00027,2026-08-09,8.5,6,Mobile
SESS_000431,CUST_00027,2026-08-11,37.5,16,Mobile
SESS_000432,CUST_00027,2026-08-23,8.6,9,Mobile
SESS_000433,CUST_00028,2026-02-17,7.8,5,Mobile
SESS_000434,CUST_00028,2026-04-10,2.9,3,Desktop
SESS_000435,CUST_00028,2026-04-27,7.2,4,Mobile
