interaction_id,customer_id,product_id,product_name,product_category,interaction_type,interaction_date
INT_0000149,CUST_00004,PROD_0246,Face Mask Pack (50pcs),Health & Wellness,view,2026-07-16
INT_0000150,CUST_00004,PROD_0149,Gaming Console,Electronics,view,2026-07-20
INT_0000151,CUST_00004,PROD_0121,Blender (4L),Electronics,view,2026-07-21
INT_0000152,CUST_00004,PROD_0173,Non-stick Cooking Pot Set,Home & Kitchen,cart_add,2026-07-23
INT_0000153,CUST_00004,PROD_0220,Beard Grooming Kit,Beauty & Personal Care,view,2026-07-31
INT_0000154,CUST_00004,PROD_0069,Phone Charger (Type-C),Phones & Tablets,view,2026-08-01
INT_0000155,CUST_00004,PROD_0185,Wall Clock,Home & Kitchen,wishlist,2026-08-09
INT_0000156,CUST_00004,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,view,2026-08-12
INT_0000157,CUST_00004,PROD_0072,Phone Screen Protector,Phones & Tablets,view,2026-08-13
INT_0000158,CUST_00004,PROD_0288,Scientific Calculator,Books & Stationery,cart_add,2026-08-13
INT_0000159,CUST_00004,PROD_0071,Bluetooth Headset,Phones & Tablets,view,2026-08-15
INT_0000160,CUST_00004,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2026-08-15
INT_0000161,CUST_00004,PROD_0274,Baby Carrier,Baby & Kids,view,2026-08-20
INT_0000162,CUST_00004,PROD_0122,Electric Iron,Electronics,view,2026-08-21
INT_0000163,CUST_00004,PROD_0139,Digital Camera,Electronics,view,2026-08-22
INT_0000164,CUST_00004,PROD_0008,Kente Print Shirt,Fashion & Apparel,view,2026-08-24
INT_0000165,CUST_00004,PROD_0122,Electric Iron,Electronics,cart_add,2026-08-25
INT_0000166,CUST_00004,PROD_0004,Men's Slim Fit Jeans,Fashion & Apparel,wishlist,2026-08-27
INT_0000167,CUST_00004,PROD_0253,Running Shoes,Sports & Outdoors,view,2026-08-28
INT_0000168,CUST_00004,PROD_0068,Redmi Note 12,Phones & Tablets,view,2026-09-01
INT_0000169,CUST_00004,PROD_0144,Bluetooth Speaker,Electronics,view,2026-09-03
INT_0000170,CUST_00005,PROD_0285,Baby Bath Tub,Baby & Kids,view,2026-07-07
INT_0000171,CUST_00005,PROD_0163,Extension Socket,Electronics,view,2026-07-14
INT_0000172,CUST_00005,PROD_0138,Microwave Oven,Electronics,view,2026-07-20
INT_0000173,CUST_00005,PROD_0258,Yoga Mat,Sports & Outdoors,view,2026-07-21
INT_0000174,CUST_00005,PROD_0123,Electric Iron,Electronics,view,2026-07-22
INT_0000175,CUST_00005,PROD_0137,43-inch LED TV,Electronics,cart_add,2026-07-22
INT_0000176,CUST_00005,PROD_0034,Men's Casual Blazer,Fashion & Apparel,cart_add,2026-07-25
INT_0000177,CUST_00005,PROD_0067,iPhone 13,Phones & Tablets,view,2026-07-28
INT_0000178,CUST_00005,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,view,2026-07-29
INT_0000179,CUST_00005,PROD_0247,Bathroom Weighing Scale,Health & Wellness,cart_add,2026-08-01
INT_0000180,CUST_00005,PROD_0068,Redmi Note 12,Phones & Tablets,view,2026-08-09
INT_0000181,CUST_00005,PROD_0008,Kente Print Shirt,Fashion & Apparel,view,2026-08-10
INT_0000182,CUST_00005,PROD_0232,Bathroom Weighing Scale,Health & Wellness,cart_add,2026-08-14
INT_0000183,CUST_00005,PROD_0254,Basketball,Sports & Outdoors,view,2026-08-15
INT_0000184,CUST_00005,PROD_0005,Men's Casual Blazer,Fashion & Apparel,cart_add,2026-08-18
INT_0000185,CUST_00005,PROD_0033,Ankara Print Dress,Fashion & Apparel,cart_add,2026-08-21
INT_0000186,CUST_00005,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,wishlist,2026-08-22
INT_0000187,CUST_00005,PROD_0069,Phone Charger (Type-C),Phones & Tablets,cart_add,2026-08-23
INT_0000188,CUST_00005,PROD_0187,Bedsheet Set (Queen),Home & Kitchen,wishlist,2026-08-23
INT_0000189,CUST_00005,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,view,2026-08-23
INT_0000190,CUST_00005,PROD_0067,iPhone 13,Phones & Tablets,cart_add,2026-08-25
INT_0000191,CUST_00005,PROD_0153,Rechargeable Fan,Electronics,cart_add,2026-09-01
INT_0000192,CUST_00006,PROD_0247,Bathroom Weighing Scale,Health & Wellness,cart_add,2026-08-06
INT_0000193,CUST_00006,PROD_0053,Traditional Smock (Fugu),Fashion & Apparel,cart_add,2026-08-10
INT_0000194,CUST_00006,PROD_0067,iPhone 13,Phones & Tablets,view,2026-08-19
INT_0000195,CUST_00006,PROD_0271,Kids' Bicycle,Baby & Kids,cart_add,2026-08-24
INT_0000196,CUST_00006,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2026-08-26
INT_0000197,CUST_00007,PROD_0067,iPhone 13,Phones & Tablets,view,2026-08-26
INT_0000198,CUST_00007,PROD_0069,Phone Charger (Type-C),Phones & Tablets,view,2026-08-27
INT_0000199,CUST_00007,PROD_0029,Women's Maxi Dress,Fashion & Apparel,view,2026-08-29
INT_0000200,CUST_00007,PROD_0004,Men's Slim Fit Jeans,Fashion & Apparel,view,2026-08-30
INT_0000201,CUST_00007,PROD_0229,Hair Dryer,Beauty & Personal Care,view,2026-09-01
INT_0000202,CUST_00008,PROD_0072,Phone Screen Protector,Phones & Tablets,view,2024-07-18
INT_0000203,CUST_00008,PROD_0168,Rice Cooker,Home & Kitchen,view,2024-07-21
INT_0000204,CUST_00008,PROD_0214,Deodorant Roll-on,Beauty & Personal Care,view,2024-08-03
INT_0000205,CUST_00008,PROD_0109,Phone Screen Protector,Phones & Tablets,view,2024-08-22
INT_0000206,CUST_00008,PROD_0116,Universal Phone Case,Phones & Tablets,view,2024-08-26
INT_0000207,CUST_00008,PROD_0257,Running Shoes,Sports & Outdoors,view,2024-08-28
INT_0000208,CUST_00008,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,wishlist,2024-09-14
INT_0000209,CUST_00008,PROD_0046,Ladies Kaftan Gown,Fashion & Apparel,view,2024-09-19
INT_0000210,CUST_00008,PROD_0126,Gaming Console,Electronics,view,2024-09-30
INT_0000211,CUST_00008,PROD_0253,Running Shoes,Sports & Outdoors,view,2024-10-03
INT_0000212,CUST_00008,PROD_0084,Samsung Galaxy A14,Phones & Tablets,cart_add,2024-10-04
INT_0000213,CUST_00008,PROD_0169,Bedsheet Set (Queen),Home & Kitchen,view,2024-10-07
INT_0000214,CUST_00008,PROD_0167,Bedsheet Set (Queen),Home & Kitchen,cart_add,2024-10-10
INT_0000215,CUST_00008,PROD_0011,Unisex Sneakers,Fashion & Apparel,cart_add,2024-10-12
INT_0000216,CUST_00008,PROD_0002,Ladies Kaftan Gown,Fashion & Apparel,view,2024-10-23
INT_0000217,CUST_00008,PROD_0242,Protein Powder,Health & Wellness,cart_add,2024-10-23
INT_0000218,CUST_00008,PROD_0030,Men's Casual Blazer,Fashion & Apparel,wishlist,2024-10-27
INT_0000219,CUST_00008,PROD_0227,Shea Butter Body Lotion,Beauty & Personal Care,view,2024-10-31
INT_0000220,CUST_00008,PROD_0167,Bedsheet Set (Queen),Home & Kitchen,view,2024-11-01
INT_0000221,CUST_00008,PROD_0281,Educational Toy Set,Baby & Kids,view,2024-11-02
INT_0000222,CUST_00008,PROD_0067,iPhone 13,Phones & Tablets,view,2024-11-05
INT_0000223,CUST_00008,PROD_0271,Kids' Bicycle,Baby & Kids,view,2024-11-07
INT_0000224,CUST_00008,PROD_0015,Unisex Sneakers,Fashion & Apparel,wishlist,2024-11-10
INT_0000225,CUST_00008,PROD_0133,Bluetooth Speaker,Electronics,wishlist,2024-11-10
INT_0000226,CUST_00008,PROD_0233,Multivitamin Tablets,Health & Wellness,cart_add,2024-11-20
INT_0000227,CUST_00008,PROD_0207,Skin Toner,Beauty & Personal Care,view,2024-11-22
INT_0000228,CUST_00008,PROD_0260,Gym Gloves,Sports & Outdoors,view,2024-11-23
INT_0000229,CUST_00008,PROD_0096,Bluetooth Headset,Phones & Tablets,view,2024-11-25
INT_0000230,CUST_00008,PROD_0134,Gaming Console,Electronics,view,2024-11-27
INT_0000231,CUST_00008,PROD_0080,Infinix Hot 30,Phones & Tablets,view,2024-12-10
INT_0000232,CUST_00008,PROD_0083,Redmi Note 12,Phones & Tablets,view,2024-12-11
INT_0000233,CUST_00008,PROD_0238,Digital Blood Pressure Monitor,Health & Wellness,view,2024-12-11
INT_0000234,CUST_00008,PROD_0139,Digital Camera,Electronics,view,2024-12-13
INT_0000235,CUST_00008,PROD_0157,Bluetooth Speaker,Electronics,view,2024-12-17
INT_0000236,CUST_00008,PROD_0067,iPhone 13,Phones & Tablets,view,2024-12-17
INT_0000237,CUST_00008,PROD_0166,Gas Cooker (4-Burner),Home & Kitchen,view,2024-12-21
INT_0000238,CUST_00008,PROD_0122,Electric Iron,Electronics,view,2024-12-21
INT_0000239,CUST_00008,PROD_0068,Redmi Note 12,Phones & Tablets,view,2024-12-24
INT_0000240,CUST_00008,PROD_0121,Blender (4L),Electronics,view,2024-12-29
INT_0000241,CUST_00008,PROD_0100,Wireless Earbuds,Phones & Tablets,view,2024-12-30
INT_0000242,CUST_00008,PROD_0125,LED Bulb Pack,Electronics,view,2024-12-30
INT_0000243,CUST_00008,PROD_0083,Redmi Note 12,Phones & Tablets,cart_add,2025-01-07
INT_0000244,CUST_00008,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2025-01-08
INT_0000245,CUST_00008,PROD_0135,LED Bulb Pack,Electronics,view,2025-01-10
INT_0000246,CUST_00008,PROD_0285,Baby Bath Tub,Baby & Kids,cart_add,2025-01-12
INT_0000247,CUST_00008,PROD_0121,Blender (4L),Electronics,cart_add,2025-01-13
INT_0000248,CUST_00008,PROD_0296,Garri (2kg),Groceries & Food,view,2025-01-14
INT_0000249,CUST_00008,PROD_0207,Skin Toner,Beauty & Personal Care,view,2025-01-16
INT_0000250,CUST_00008,PROD_0128,Air Conditioner (1.5HP),Electronics,view,2025-01-16
INT_0000251,CUST_00008,PROD_0170,Rice Cooker,Home & Kitchen,wishlist,2025-01-22
INT_0000252,CUST_00008,PROD_0289,Kids' Storybook,Books & Stationery,view,2025-01-23
INT_0000253,CUST_00008,PROD_0239,Vitamin C Supplements,Health & Wellness,view,2025-01-24
INT_0000254,CUST_00008,PROD_0260,Gym Gloves,Sports & Outdoors,view,2025-01-24
INT_0000255,CUST_00008,PROD_0121,Blender (4L),Electronics,view,2025-01-24
INT_0000256,CUST_00008,PROD_0011,Unisex Sneakers,Fashion & Apparel,view,2025-01-28
INT_0000257,CUST_00008,PROD_0015,Unisex Sneakers,Fashion & Apparel,view,2025-01-28
INT_0000258,CUST_00008,PROD_0028,Men's Casual Blazer,Fashion & Apparel,cart_add,2025-01-31
INT_0000259,CUST_00008,PROD_0068,Redmi Note 12,Phones & Tablets,view,2025-01-31
INT_0000260,CUST_00008,PROD_0286,Hardcover Notebook,Books & Stationery,cart_add,2025-01-31
INT_0000261,CUST_00008,PROD_0235,Bathroom Weighing Scale,Health & Wellness,view,2025-02-01
INT_0000262,CUST_00008,PROD_0067,iPhone 13,Phones & Tablets,view,2025-02-05
INT_0000263,CUST_00008,PROD_0254,Basketball,Sports & Outdoors,view,2025-02-08
INT_0000264,CUST_00008,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2025-02-09
INT_0000265,CUST_00008,PROD_0295,Canned Tuna,Groceries & Food,view,2025-02-11
INT_0000266,CUST_00008,PROD_0006,Men's Casual Blazer,Fashion & Apparel,view,2025-02-13
INT_0000267,CUST_00008,PROD_0045,Women's Maxi Dress,Fashion & Apparel,view,2025-02-19
INT_0000268,CUST_00008,PROD_0121,Blender (4L),Electronics,view,2025-02-20
INT_0000269,CUST_00008,PROD_0266,Resistance Bands,Sports & Outdoors,view,2025-02-22
INT_0000270,CUST_00008,PROD_0081,Phone Charger (Type-C),Phones & Tablets,view,2025-02-25
INT_0000271,CUST_00008,PROD_0140,Electric Iron,Electronics,view,2025-03-01
INT_0000272,CUST_00008,PROD_0233,Multivitamin Tablets,Health & Wellness,cart_add,2025-03-02
INT_0000273,CUST_00008,PROD_0202,Deodorant Roll-on,Beauty & Personal Care,view,2025-03-03
INT_0000274,CUST_00008,PROD_0030,Men's Casual Blazer,Fashion & Apparel,view,2025-03-05
INT_0000275,CUST_00008,PROD_0001,Traditional Smock (Fugu),Fashion & Apparel,view,2025-03-05
INT_0000276,CUST_00008,PROD_0068,Redmi Note 12,Phones & Tablets,view,2025-03-09
INT_0000277,CUST_00008,PROD_0125,LED Bulb Pack,Electronics,view,2025-03-10
INT_0000278,CUST_00008,PROD_0078,Phone Screen Protector,Phones & Tablets,view,2025-03-10
INT_0000279,CUST_00008,PROD_0003,Cotton Polo Shirt,Fashion & Apparel,view,2025-03-10
INT_0000280,CUST_00008,PROD_0242,Protein Powder,Health & Wellness,view,2025-03-12
